dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.500000,22.500000,0.000029,0.005714,0.571429,57.142857,0.000000
0.010000,2.500000,22.500000,0.000029,0.000000,-0.571429,-114.285714,0.000000
0.010000,2.500205,22.500000,0.000234,0.020500,2.050000,262.142857,0.000000
0.010000,2.500662,22.500000,0.000691,0.045714,2.521429,47.142857,0.000000
0.010000,2.501376,22.500000,0.001405,0.071429,2.571429,5.000000,0.000000
0.010000,2.502405,22.500000,0.002434,0.102857,3.142857,57.142857,0.000000
0.010000,2.503805,22.500000,0.003834,0.140000,3.714286,57.142857,0.000000
0.010000,2.505605,22.500000,0.005634,0.180000,4.000000,28.571429,0.000000
0.010000,2.507805,22.500000,0.007834,0.220000,4.000000,-0.000000,0.000000
0.010000,2.510405,22.500000,0.010434,0.260000,4.000000,0.000000,0.000000
0.010000,2.513405,22.500000,0.013434,0.300000,4.000000,-0.000000,0.000000
0.010000,2.516805,22.500000,0.016834,0.340000,4.000000,0.000000,0.000000
0.010000,2.520605,22.500000,0.020634,0.380000,4.000000,-0.000000,0.000000
0.010000,2.524805,22.500000,0.024834,0.420000,4.000000,0.000000,0.000000
0.010000,2.529405,22.500000,0.029434,0.460000,4.000000,0.000000,0.000000
0.010000,2.534405,22.500000,0.034434,0.500000,4.000000,-0.000000,0.000000
0.010000,2.539805,22.500000,0.039834,0.540000,4.000000,0.000000,0.000000
0.010000,2.545605,22.500000,0.045634,0.580000,4.000000,0.000000,0.000000
0.010000,2.551805,22.500000,0.051834,0.620000,4.000000,-0.000000,0.000000
0.010000,2.558405,22.500000,0.058434,0.660000,4.000000,0.000000,0.000000
0.010000,2.565405,22.500000,0.065434,0.700000,4.000000,-0.000000,0.000000
0.010000,2.572805,22.500000,0.072834,0.740000,4.000000,0.000000,0.000000
0.010000,2.580605,22.500000,0.080634,0.780000,4.000000,-0.000000,0.000000
0.010000,2.588805,22.500000,0.088834,0.820000,4.000000,0.000000,0.000000
0.010000,2.597405,22.500000,0.097434,0.860000,4.000000,-0.000000,0.000000
0.010000,2.606405,22.500000,0.106434,0.900000,4.000000,0.000000,0.000000
0.010000,2.615805,22.500000,0.115834,0.940000,4.000000,0.000000,0.000000
0.010000,2.625605,22.500000,0.125634,0.980000,4.000000,0.000000,0.000000
0.010000,2.635805,22.500000,0.135834,1.020000,4.000000,-0.000000,0.000000
0.010000,2.646405,22.500000,0.146434,1.060000,4.000000,0.000000,0.000000
0.010000,2.657405,22.500000,0.157434,1.100000,4.000000,-0.000000,0.000000
0.010000,2.668805,22.500000,0.168834,1.140000,4.000000,-0.000000,0.000000
0.010000,2.680605,22.500000,0.180634,1.180000,4.000000,0.000000,0.000000
0.010000,2.692805,22.500000,0.192834,1.220000,4.000000,-0.000000,0.000000
0.010000,2.705405,22.500000,0.205434,1.260000,4.000000,0.000000,0.000000
0.010000,2.718405,22.500000,0.218434,1.300000,4.000000,0.000000,0.000000
0.010000,2.731805,22.500000,0.231834,1.340000,4.000000,0.000000,0.000000
0.010000,2.745605,22.500000,0.245634,1.380000,4.000000,-0.000000,0.000000
0.010000,2.759805,22.500000,0.259834,1.420000,4.000000,-0.000000,0.000000
0.010000,2.774405,22.500000,0.274434,1.460000,4.000000,0.000000,0.000000
0.010000,2.789405,22.500000,0.289434,1.500000,4.000000,-0.000000,0.000000
0.010000,2.804805,22.500000,0.304834,1.540000,4.000000,0.000000,0.000000
0.010000,2.820605,22.500000,0.320634,1.580000,4.000000,-0.000000,0.000000
0.010000,2.836805,22.500000,0.336834,1.620000,4.000000,0.000000,0.000000
0.010000,2.853405,22.500000,0.353434,1.660000,4.000000,-0.000000,0.000000
0.010000,2.870405,22.500000,0.370434,1.700000,4.000000,0.000000,0.000000
0.010000,2.887805,22.500000,0.387834,1.740000,4.000000,-0.000000,0.000000
0.010000,2.905605,22.500000,0.405634,1.780000,4.000000,0.000000,0.000000
0.010000,2.923805,22.500000,0.423834,1.820000,4.000000,0.000000,0.000000
0.010000,2.942405,22.500000,0.442434,1.860000,4.000000,0.000000,0.000000
0.010000,2.961405,22.500000,0.461434,1.900000,4.000000,0.000000,0.000000
0.010000,2.980805,22.500000,0.480834,1.940000,4.000000,-0.000000,0.000000
0.010000,3.000605,22.500000,0.500634,1.980000,4.000000,0.000000,0.000000
0.010000,3.020805,22.500000,0.520834,2.020000,4.000000,-0.000000,0.000000
0.010000,3.041405,22.500000,0.541434,2.060000,4.000000,0.000000,0.000000
0.010000,3.062405,22.500000,0.562434,2.100000,4.000000,0.000000,0.000000
0.010000,3.083805,22.500000,0.583834,2.140000,4.000000,0.000000,0.000000
0.010000,3.105605,22.500000,0.605634,2.180000,4.000000,0.000000,0.000000
0.010000,3.127805,22.500000,0.627834,2.220000,4.000000,-0.000000,0.000000
0.010000,3.150405,22.500000,0.650434,2.260000,4.000000,0.000000,0.000000
0.010000,3.173405,22.500000,0.673434,2.300000,4.000000,0.000000,0.000000
0.010000,3.196805,22.500000,0.696834,2.340000,4.000000,0.000000,0.000000
0.010000,3.220605,22.500000,0.720634,2.380000,4.000000,-0.000000,0.000000
0.010000,3.244805,22.500000,0.744834,2.420000,4.000000,-0.000000,0.000000
0.010000,3.269405,22.500000,0.769434,2.460000,4.000000,0.000000,0.000000
0.010000,3.294405,22.500000,0.794434,2.500000,4.000000,0.000000,0.000000
0.010000,3.319805,22.500000,0.819834,2.540000,4.000000,0.000000,0.000000
0.010000,3.345605,22.500000,0.845634,2.580000,4.000000,0.000000,0.000000
0.010000,3.371805,22.500000,0.871834,2.620000,4.000000,-0.000000,0.000000
0.010000,3.398405,22.500000,0.898434,2.660000,4.000000,0.000000,0.000000
0.010000,3.425405,22.500000,0.925434,2.700000,4.000000,0.000000,0.000000
0.010000,3.452805,22.500000,0.952834,2.740000,4.000000,0.000000,0.000000
0.010000,3.480605,22.500000,0.980634,2.780000,4.000000,0.000000,0.000000
0.010000,3.508805,22.500000,1.008834,2.820000,4.000000,-0.000000,0.000000
0.010000,3.537405,22.500000,1.037434,2.860000,4.000000,0.000000,0.000000
0.010000,3.566405,22.500000,1.066434,2.900000,4.000000,-0.000000,0.000000
0.010000,3.595805,22.500000,1.095834,2.940000,4.000000,0.000000,0.000000
0.010000,3.625605,22.500000,1.125634,2.980000,4.000000,0.000000,0.000000
0.010000,3.655805,22.500000,1.155834,3.020000,4.000000,0.000000,0.000000
0.010000,3.686405,22.500000,1.186434,3.060000,4.000000,-0.000000,0.000000
