dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.500024,12.000000,0.000029,0.005714,0.571429,57.142857,0.000000
0.010000,2.500138,12.000000,0.000143,0.011429,0.571429,0.000000,0.000000
0.010000,2.500395,12.000000,0.000400,0.025714,1.428571,85.714286,0.000000
0.010000,2.500852,12.000000,0.000857,0.045714,2.000000,57.142857,0.000000
0.010000,2.501566,12.000000,0.001571,0.071429,2.571429,57.142857,0.000000
0.010000,2.502595,12.000000,0.002600,0.102857,3.142857,57.142857,0.000000
0.010000,2.503995,12.000000,0.004000,0.140000,3.714286,57.142857,0.000000
0.010000,2.505795,12.000000,0.005800,0.180000,4.000000,28.571429,0.000000
0.010000,2.507995,12.000000,0.008000,0.220000,4.000000,0.000000,0.000000
0.010000,2.510595,12.000000,0.010600,0.260000,4.000000,-0.000000,0.000000
0.010000,2.513595,12.000000,0.013600,0.300000,4.000000,0.000000,0.000000
0.010000,2.516995,12.000000,0.017000,0.340000,4.000000,-0.000000,0.000000
0.010000,2.520795,12.000000,0.020800,0.380000,4.000000,-0.000000,0.000000
0.010000,2.524995,12.000000,0.025000,0.420000,4.000000,0.000000,0.000000
0.010000,2.529595,12.000000,0.029600,0.460000,4.000000,-0.000000,0.000000
0.010000,2.534595,12.000000,0.034600,0.500000,4.000000,0.000000,0.000000
0.010000,2.539995,12.000000,0.040000,0.540000,4.000000,-0.000000,0.000000
0.010000,2.545795,12.000000,0.045800,0.580000,4.000000,-0.000000,0.000000
0.010000,2.551995,12.000000,0.052000,0.620000,4.000000,0.000000,0.000000
0.010000,2.558595,12.000000,0.058600,0.660000,4.000000,-0.000000,0.000000
0.010000,2.565595,12.000000,0.065600,0.700000,4.000000,-0.000000,0.000000
0.010000,2.572995,12.000000,0.073000,0.740000,4.000000,-0.000000,0.000000
0.010000,2.580795,12.000000,0.080800,0.780000,4.000000,0.000000,0.000000
0.010000,2.588995,12.000000,0.089000,0.820000,4.000000,0.000000,0.000000
0.010000,2.597595,12.000000,0.097600,0.860000,4.000000,-0.000000,0.000000
0.010000,2.606595,12.000000,0.106600,0.900000,4.000000,0.000000,0.000000
0.010000,2.615995,12.000000,0.116000,0.940000,4.000000,0.000000,0.000000
0.010000,2.625795,12.000000,0.125800,0.980000,4.000000,-0.000000,0.000000
0.010000,2.635995,12.000000,0.136000,1.020000,4.000000,0.000000,0.000000
0.010000,2.646595,12.000000,0.146600,1.060000,4.000000,-0.000000,0.000000
0.010000,2.657595,12.000000,0.157600,1.100000,4.000000,0.000000,0.000000
0.010000,2.668995,12.000000,0.169000,1.140000,4.000000,-0.000000,0.000000
0.010000,2.680795,12.000000,0.180800,1.180000,4.000000,0.000000,0.000000
0.010000,2.692995,12.000000,0.193000,1.220000,4.000000,-0.000000,0.000000
0.010000,2.705595,12.000000,0.205600,1.260000,4.000000,0.000000,0.000000
0.010000,2.718595,12.000000,0.218600,1.300000,4.000000,-0.000000,0.000000
0.010000,2.731995,12.000000,0.232000,1.340000,4.000000,0.000000,0.000000
0.010000,2.745795,12.000000,0.245800,1.380000,4.000000,0.000000,0.000000
0.010000,2.759995,12.000000,0.260000,1.420000,4.000000,0.000000,0.000000
0.010000,2.774595,12.000000,0.274600,1.460000,4.000000,-0.000000,0.000000
0.010000,2.789595,12.000000,0.289600,1.500000,4.000000,-0.000000,0.000000
0.010000,2.804995,12.000000,0.305000,1.540000,4.000000,-0.000000,0.000000
0.010000,2.820795,12.000000,0.320800,1.580000,4.000000,-0.000000,0.000000
0.010000,2.836995,12.000000,0.337000,1.620000,4.000000,0.000000,0.000000
0.010000,2.853595,12.000000,0.353600,1.660000,4.000000,0.000000,0.000000
0.010000,2.870595,12.000000,0.370600,1.700000,4.000000,-0.000000,0.000000
0.010000,2.887995,12.000000,0.388000,1.740000,4.000000,0.000000,0.000000
0.010000,2.905795,12.000000,0.405800,1.780000,4.000000,-0.000000,0.000000
0.010000,2.923995,12.000000,0.424000,1.820000,4.000000,0.000000,0.000000
0.010000,2.942595,12.000000,0.442600,1.860000,4.000000,0.000000,0.000000
0.010000,2.961595,12.000000,0.461600,1.900000,4.000000,-0.000000,0.000000
0.010000,2.980995,12.000000,0.481000,1.940000,4.000000,0.000000,0.000000
0.010000,3.000836,12.000000,0.500841,1.984082,4.408182,40.818212,0.000163
0.010000,3.025959,12.000066,0.525964,2.512319,52.823671,4841.548857,0.005086
0.010000,3.051652,12.000262,0.551658,2.569383,5.706459,-4711.721196,0.010180
0.010000,3.077920,12.000598,0.577928,2.627014,5.763108,5.664930,0.015450
0.010000,3.104768,12.001086,0.604780,2.685237,5.822325,5.921745,0.020902
0.010000,3.132201,12.001737,0.632221,2.744080,5.884289,6.196313,0.026543
0.010000,3.160225,12.002563,0.660257,2.803571,5.949029,6.474053,0.032379
0.010000,3.188844,12.003576,0.688894,2.863738,6.016723,6.769377,0.038416
0.010000,3.218065,12.004790,0.718140,2.924612,6.087425,7.070215,0.044663
0.010000,3.247893,12.006220,0.748003,2.986225,6.161247,7.382204,0.051125
0.010000,3.278334,12.007879,0.778489,3.048608,6.238303,7.705604,0.057811
0.010000,3.309393,12.009784,0.809607,3.111795,6.318696,8.039286,0.064729
0.010000,3.341078,12.011952,0.841365,3.175819,6.402474,8.377850,0.071887
0.010000,3.373392,12.014399,0.873772,3.240717,6.489769,8.729415,0.079295
0.010000,3.406343,12.017144,0.906837,3.306523,6.580621,9.085217,0.086960
0.010000,3.439937,12.020207,0.940570,3.373274,6.675072,9.445158,0.094893
0.010000,3.474178,12.023607,0.974980,3.441006,6.773197,9.812411,0.103103
0.010000,3.509074,12.027367,1.010078,3.509756,6.874979,10.178235,0.111601
0.010000,3.544629,12.031510,1.045873,3.579560,6.980414,10.543538,0.120396
0.010000,3.580849,12.036059,1.082378,3.650454,7.089447,10.903321,0.129501
0.010000,3.617739,12.041040,1.119602,3.722475,7.202020,11.257242,0.138926
0.010000,3.655304,12.046479,1.157559,3.795654,7.317964,11.594371,0.148683
0.010000,3.693548,12.052404,1.196259,3.870025,7.437118,11.915425,0.158783
0.010000,3.732474,12.058846,1.235715,3.945617,7.559214,12.209577,0.169239
0.010000,3.772087,12.065835,1.275940,4.022457,7.683935,12.472125,0.180064
0.010000,3.812388,12.073404,1.316946,4.100566,7.810874,12.693960,0.191270
0.010000,3.853379,12.081588,1.358745,4.179961,7.939499,12.862430,0.202870
0.010000,3.895060,12.090422,1.401352,4.260653,8.069209,12.970982,0.214877
0.010000,3.937429,12.099944,1.444778,4.342645,8.199255,13.004655,0.227303
0.010000,3.980485,12.110195,1.489038,4.425932,8.328721,12.946625,0.240163
0.010000,4.024223,12.121214,1.534143,4.510498,8.456590,12.786825,0.253468
0.010000,4.068638,12.133045,1.580106,4.596315,8.581638,12.504833,0.267232
0.010000,4.113720,12.145732,1.626939,4.683339,8.702445,12.080717,0.281466
0.010000,4.159459,12.159322,1.674654,4.771513,8.817425,11.497975,0.296181
0.010000,4.205841,12.173861,1.723262,4.860761,8.924764,10.733878,0.311389
0.010000,4.252850,12.189399,1.772772,4.950985,9.022418,9.765432,0.327100
0.010000,4.300464,12.205985,1.823192,5.042067,9.108164,8.574592,0.343321
0.010000,4.348661,12.223669,1.874531,5.133862,9.179506,7.134182,0.360060
0.010000,4.397411,12.242503,1.926793,5.226200,9.233824,5.431843,0.377323
0.010000,4.446682,12.262538,1.979982,5.318882,9.268233,3.440863,0.395112
0.010000,4.496437,12.283824,2.034099,5.411680,9.279779,1.154637,0.413430
0.010000,4.546633,12.306411,2.089142,5.504334,9.265378,-1.440077,0.432274
0.010000,4.597221,12.330347,2.145107,5.596553,9.221907,-4.347127,0.451640
0.010000,4.648150,12.355678,2.201988,5.688016,9.146322,-7.558477,0.471521
0.010000,4.699358,12.382449,2.259771,5.778373,9.035699,-11.062361,0.491906
